background	Arbre	tronc
155,165,104	32,45,27	24,26,12
158,168,107	17,25,12	18,22,7
161,171,110	19,27,14	24,30,16
175,181,121	21,34,17	30,32,18
175,181,121	18,26,15	28,32,17
175,181,121	17,25,14	25,31,17
174,178,119	14,25,11	35,38,21
173,177,116	15,22,14	36,40,25
171,175,114	14,21,13	31,39,24
116,145,61	86,105,59	37,32,28
118,150,65	86,106,57	37,32,26
117,150,63	72,90,42	38,34,25
131,159,75	60,80,31	38,33,29
130,160,74	61,81,30	39,34,28
131,161,75	54,72,22	40,35,29
144,172,87	55,73,25	39,34,30
138,166,81	58,76,28	39,34,28
137,165,80	54,70,23	40,35,29
54,71,52	94,111,69
48,65,48	84,99,58
49,69,50	84,96,56
57,67,56	87,102,63
51,62,51	73,88,49
51,64,52	85,97,59
49,57,48	75,90,51
48,56,49	76,91,52
43,52,46	82,94,56
27,47,34	71,77,39
31,45,32	71,77,41
39,47,34	48,55,21
28,46,33	76,82,44
36,48,41	69,75,39
44,50,50	58,64,30
37,50,41	76,80,43
41,52,45	74,78,43
47,56,52	62,68,34
99,120,113	60,74,48
86,111,105	52,66,40
88,120,109	27,41,15
92,113,108	60,73,45
83,108,104	50,63,35
96,126,118	21,34,6
109,128,126	51,64,38
111,133,131	43,56,28
92,121,116	15,28,2
99,120,113	59,77,29
86,111,105	37,55,7
88,120,109	71,87,40
92,113,108	72,89,37
83,108,104	68,85,33
96,126,118	58,72,23
109,128,126	88,102,49
111,133,131	70,84,33
92,121,116	60,72,22
214,212,101	163,127,79
241,239,128	87,51,1
253,250,143	89,53,1
244,241,136	151,118,73
240,237,130	128,96,49
249,247,144	89,57,8
250,247,150	140,113,70
223,220,123	119,90,46
207,207,109	144,118,69
122,147,152	73,69,40
124,149,156	63,58,29
127,152,159	93,88,59
136,160,162	49,45,18
110,135,139	61,55,29
115,140,144	81,77,48
121,146,143	61,60,32
104,130,129	69,65,38
113,139,138	77,73,44
174,117,126	39,62,16
207,140,147	79,102,56
